#OTU ID	A1-JM2s-2-2621739	A2-Joya3s-2-2621747	A3-J6r-2-2621805	A7-Cueva2s-2-2621837	A8-JM2r-2-2621845	A9-Q4r-2-2621903	A10-QM6r-2-2621911	A11-Cueva3r-2-2621919	A12-QM6s-2-2621927	B1-Base1s-2-2621740	B2-Joya2s-2-2621748	B3-JM3r-2-2621806	B8-JM1r-2-2621846	B9-Q3r-2-2621904	B10-QM5r-2-2621912	B11-Cueva2r-2-2621920	B12-QM2s-2-2621928	C1-Cueva5s-2-2621741	C3-JM4r-2-2621807	C9-Q2r-2-2621905	C10-QM4r-2-2621913	C11-Cueva1r-2-2621921	C12-Base3r-2-2621929	D1-Cueva4s-2-2621742	D3-JM6r-2-2621808	D8-J5r-2-2621848	D9-Q1r-2-2621906	D10-QM3r-2-2621914	D11-Joya9r-2-2621922	D12-Base1r-2-2621930	E1-Cueva3s-2-2621743	E2-Joya2r-2-2621801	E3-J1s-2-2621809	E8-J4r-2-2621849	E9-JM5r-2-2621907	E10-QM2r-2-2621915	E11-Joya8r-2-2621923	E12-Cueva5r-2-2621931	F1-Cueva1s-2-2621744	F2-Q3s-2-2621802	F3-J5s-2-2621810	F8-J3r-2-2621850	F9-QM1s-2-2621908	F10-QM1r-2-2621916	F11-Joya7r-2-2621924	F12-Cueva4r-2-2621932	G1-Joya9s-2-2621745	G2-Q1s-2-2621803	G3-JM1s-2-2621811	G8-J2r-2-2621901	G10-Q6r-2-2621917	G11-Joya3r-2-2621925	G12-Base3s-2-2621933	H1-Joya7s-2-2621746	H2-JM6s-2-2621804	H3-Joya8s-2-2621812	H8-J1r-2-2621902	H10-Q5r-2-2621918	H11-J3s-2-2621926	H12-Q6s-2-2621934	taxonomy
OTU1780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Kickxellomycota; c__; o__; f__; g__; s__
OTU1781	0	0	0	22	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	 k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Peltigerales; f__Pannariaceae; g__; s__
OTU1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__
OTU1783	0	0	0	0	1	0	161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__
OTU1784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	 k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella alpina
OTU1785	0	7	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
OTU1787	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	1	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
OTU1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	77	 k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__; f__; g__; s__
OTU1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__; g__; s__
OTU1791	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	 k__Fungi; p__; c__; o__; f__; g__; s__
