"","Myc","Trophic","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU605","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Inocybaceae","g__ Inocybe","s__ Inocybe cincinnata"
"OTU609","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Pseudotomentella","s__"
"OTU616","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Pyronemataceae","g__ Pulvinula","s__"
"OTU647","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU653","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU670","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Leotiomycetes","o__ Helotiales","f__ Helotiaceae","g__ Meliniomyces","s__"
"OTU738","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Boletales","f__ Suillaceae","g__ Suillus","s__ Suillus pungens"
"OTU812","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Cortinariaceae","g__ Cortinarius","s__ Cortinarius diasemospermus"
"OTU844","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Tuberaceae","g__ Tuber","s__"
"OTU940","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Inocybaceae","g__ Inocybe","s__"
"OTU964","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Lactarius","s__ Lactarius fuliginosus"
"OTU1004","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__","s__"
"OTU1009","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU1032","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__","s__"
"OTU1033","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU1038","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU1066","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Hygrophoraceae","g__ Hygrophorus","s__"
"OTU1082","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Entolomataceae","g__ Entoloma","s__ Entoloma dysthales"
"OTU1125","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__","g__","s__"
"OTU1133","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU1163","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Tuberaceae","g__ Tuber","s__"
"OTU1250","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Boletales","f__ Melanogastraceae","g__ Melanogaster","s__"
"OTU1283","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
